TABLE 4 — Feed Composition,,,,,,,,,,
Experimental Diets,polystyrene microplastics,gross energy,crude fat,crude protein,,,,,,
ANALYSIS OF FEED,PS-MPS %,GE Feed (%),CF Feed (%),CP Feed (%),,,,,,
Test Diet I,0,3.37,8.06,30.62,,,,,,
Test Diet II,0.5,3.41,8.04,30.76,,,,,,
Test Diet III,1,3.46,8.05,30.84,,,,,,
Test Diet IV,1.5,3.41,8.03,30.68,,,,,,
Test Diet V,2,3.46,8.05,30.88,,,,,,
Test Diet VI,2.5,3.47,8.07,30.79,,,,,,
ANALYSIS OF FECES,,,,,,,,,,
Test Diet I,0,1.26,2.24,10.26,,,,,,
Test Diet II,0.5,1.42,2.55,12.81,,,,,,
Test Diet III,1,1.56,2.64,13.59,,,,,,
Test Diet IV,1.5,1.67,2.81,15.31,,,,,,
Test Diet V,2,1.84,3.26,16.22,,,,,,
Test Diet VI,2.5,2.04,3.75,17.31,,,,,,
,,,,,,,,,,
TABLE 3 — Growth Analysis Labeo rohita fed PS-MPS,,,,,,,,,,
,polystyrene microplastics,initial weight,final weight (over 90 days),weight gain per day,weight gain,feed intake,weight gain percentage,feed conversion ratio,specific growth rate,
Test Diets,Non-biodegradable PS-MPs (%),IW (g),FW (g),WG/Day,WG (g),FI,WG%,FCR,SGR,
Test Diet I,0,13.6,32.83,0.21,19.23,0.23,141.37,1.1,0.98,
Test Diet II,0.5,13.7,30.33,0.18,16.63,0.25,121.37,1.37,0.88,
Test Diet III,1,13.8,27.95,0.16,14.63,0.25,102.56,1.6,0.78,
Test Diet IV,1.5,13.53,25.19,0.13,11.66,0.26,86.2,1.98,0.69,
Test Diet V,2,13.78,23.41,0.11,9.63,0.25,69.91,2.38,0.59,
Test Diet VI,2.5,13.22,21.55,0.09,8.33,0.23,63.06,2.45,0.54,
,,,,,,,,,,
,,,,,,,,,,
TABLE 2 — Ingredients of Experimental Diets (%) ,,,,,,,,,,
Ingredients,Test Diet I (control),Test Diet II,Test Diet III,Test Diet IV,Test Diet V,Test Diet VI,,,,
PS-MPS (%),0,0.5,1,1.5,2,2.5,,,,
Canola meal,54,54,54,54,54,54,,,,
Rice polish,8,8,8,8,8,8,,,,
Fish oil,7,7,7,7,7,7,,,,
Wheat flour,17,16.5,16,15.5,15,14.5,,,,
Fish meal,10,10,10,10,10,10,,,,
Ascorbic acid,1,1,1,1,1,1,,,,
Minerals premix,1,1,1,1,1,1,,,,
Chromic oxide,1,1,1,1,1,1,,,,
Vitamins premix,1,1,1,1,1,1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,polystyrene microplastics,time (day),initial weight,time (day),final weight (over 90 days),weight gain per day,,,,
Test Diets,Non-biodegradable PS-MPs (%),0,IW (g),90,FW (g),WG/Day,,,,
Test Diet I,0,0,13.6,90,32.83,0.21,,,,
Test Diet II,0.5,0,13.7,90,30.33,0.18,,,,
Test Diet III,1,0,13.8,90,27.95,0.16,,,,
Test Diet IV,1.5,0,13.53,90,25.19,0.13,,,,
Test Diet V,2,0,13.78,90,23.41,0.11,,,,
Test Diet VI,2.5,0,13.22,90,21.55,0.09,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
